       Step     Time          Energy         fmax
LBFGS:    0 16:25:08    -5362.908502        1.2775
LBFGS:    1 16:26:25    -5362.968942        0.5376
LBFGS:    2 16:27:38    -5363.000075        0.4758
LBFGS:    3 16:28:56    -5363.036003        0.4440
LBFGS:    4 16:30:12    -5363.059763        0.4001
LBFGS:    5 16:31:27    -5363.078908        0.3039
LBFGS:    6 16:32:44    -5363.093519        0.3300
LBFGS:    7 16:34:06    -5363.109597        0.3494
LBFGS:    8 16:35:02    -5363.122635        0.2493
LBFGS:    9 16:35:54    -5363.131047        0.1914
LBFGS:   10 16:36:58    -5363.135613        0.1461
LBFGS:   11 16:38:09    -5363.139002        0.1565
LBFGS:   12 16:39:17    -5363.142100        0.1448
LBFGS:   13 16:40:27    -5363.144483        0.1063
LBFGS:   14 16:41:34    -5363.146214        0.1051
LBFGS:   15 16:42:45    -5363.147608        0.0862
LBFGS:   16 16:43:56    -5363.148767        0.0766
LBFGS:   17 16:45:02    -5363.149702        0.0700
LBFGS:   18 16:46:13    -5363.150574        0.0715
LBFGS:   19 16:47:18    -5363.151611        0.0832
LBFGS:   20 16:48:28    -5363.152933        0.1013
LBFGS:   21 16:49:34    -5363.154462        0.0996
LBFGS:   22 16:50:44    -5363.156126        0.1299
LBFGS:   23 16:51:51    -5363.158047        0.1335
LBFGS:   24 16:52:58    -5363.160203        0.1069
LBFGS:   25 16:54:10    -5363.162161        0.1050
LBFGS:   26 16:55:18    -5363.163625        0.0798
LBFGS:   27 16:56:31    -5363.164785        0.0804
LBFGS:   28 16:57:37    -5363.165880        0.0900
LBFGS:   29 16:58:46    -5363.166865        0.0763
LBFGS:   30 16:59:54    -5363.167569        0.0625
LBFGS:   31 17:01:05    -5363.168010        0.0415
