filename;basename;method;mp2optbasis;smiles;E_kJ/mol;name;source
CCDC682820-cis.xyz;CCDC682820;ged;ccpvtz;C1=CC=C(C=C1)NC=O;-1049577.71147;N-Phenylformamide;10.1007/s11224-012-0071-6
CCDC682820-trans.xyz;CCDC682820;ged;ccpvtz;C1=CC=C(C=C1)NC=O;-1049582.93425;N-Phenylformamide;10.1007/s11224-012-0071-6
CID11169919-I.xyz;CID11169919;ged;ccpvtz;C1=CC(=CC=C1C2=C3C=CC(=C(C4=CC=C(N4)C(=C5C=CC(=N5)C(=C6C=CC2=N6)C7=CC=C(C=C7)F)C8=CC=C(C=C8)F)C9=CC=C(C=C9)F)N3)F;-6049531.83226;5,10,15,20-Tetrakis(4-fluorophenyl)porphyrin;10.1016/j.molstruc.2020.128662
CID11169919-II.xyz;CID11169919;ged;ccpvtz;C1=CC(=CC=C1C2=C3C=CC(=C(C4=CC=C(N4)C(=C5C=CC(=N5)C(=C6C=CC2=N6)C7=CC=C(C=C7)F)C8=CC=C(C=C8)F)C9=CC=C(C=C9)F)N3)F;-6049532.04223;5,10,15,20-Tetrakis(4-fluorophenyl)porphyrin;10.1016/j.molstruc.2020.128662
CID11169919-III.xyz;CID11169919;ged;ccpvtz;C1=CC(=CC=C1C2=C3C=CC(=C(C4=CC=C(N4)C(=C5C=CC(=N5)C(=C6C=CC2=N6)C7=CC=C(C=C7)F)C8=CC=C(C=C8)F)C9=CC=C(C=C9)F)N3)F;-6049530.86465;5,10,15,20-Tetrakis(4-fluorophenyl)porphyrin;10.1016/j.molstruc.2020.128662
CID11169919-IV.xyz;CID11169919;ged;ccpvtz;C1=CC(=CC=C1C2=C3C=CC(=C(C4=CC=C(N4)C(=C5C=CC(=N5)C(=C6C=CC2=N6)C7=CC=C(C=C7)F)C8=CC=C(C=C8)F)C9=CC=C(C=C9)F)N3)F;-6049530.80248;5,10,15,20-Tetrakis(4-fluorophenyl)porphyrin;10.1016/j.molstruc.2020.128662
CID6570-ap.xyz;CID6570;ged;augccpvtz;CC(=O)C=C;-605937.59384;Methyl vinyl ketone;10.1016/0022-2860(89)80171-1
CID6570-sp.xyz;CID6570;ged;augccpvtz;CC(=O)C=C;-605934.66312;Methyl vinyl ketone;10.1016/0022-2860(89)80171-1
CID7166-I.xyz;CID7166;ged;augccpvtz;CC(=O)CC(=O)C1=CC=CC=C1;-1408627.86473;Benzoylacetone;10.1021/jp2118967
CID7166-II.xyz;CID7166;ged;augccpvtz;CC(=O)CC(=O)C1=CC=CC=C1;-1408626.13711;Benzoylacetone;10.1021/jp2118967
CID9975-anti.xyz;CID9975;ged;augccpvtz;COC1=CC(=CC=C1)F;-1168930.33833;3-fluoroanisole;10.1016/j.molstruc.2005.12.035
CID9975-syn.xyz;CID9975;ged;augccpvtz;COC1=CC(=CC=C1)F;-1168930.64524;3-fluoroanisole;10.1016/j.molstruc.2005.12.035
CID18724-I.xyz;CID18724;ged;augccpvtz;C1CCC(CC1)N2CCCCC2;-1274768.43666;1-Cyclohexylpiperidine;10.1007/s11224-015-0602-z
CID18724-II.xyz;CID18724;ged;augccpvtz;C1CCC(CC1)N2CCCCC2;-1274764.92370;1-Cyclohexylpiperidine;10.1007/s11224-015-0602-z
CID18724-III.xyz;CID18724;ged;augccpvtz;C1CCC(CC1)N2CCCCC2;-1274768.10674;1-Cyclohexylpiperidine;10.1007/s11224-015-0602-z
CID68010-I.xyz;CID68010;ged;augccpvtz;C1=CC=C(C=C1)OC(F)(F)F;-1689604.23423;(Trifluoromethoxy)benzene;10.1016/S0022-2860(01)00564-6
