filename;method;mp2optbasis;smiles;E_kJ/mol;name;source
129368.xyz;cryst;augccpvtz;C1=CC(=CC=C1Cl)Cl;-3019302.853;1,4-Dichlorobenzene;"CCDC Database; GED OVERLAP 10.1007/s11224-010-9614-x"
130547.xyz;cryst;augccpvtz;C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3;-2715768.701;Triphenylphosphine;"CCDC Database; GED OVERLAP 10.1023/A:1013212709843"
131056.xyz;cryst;augccpvtz;C[C@]12CC[C@H]3C(=CCc4cc(O)ccc34)[C@@H]1CCC2=O;-2223122.741;3-Hydroxyestra-1,3,5(10),7-tetraen-17-one;CCDC Database
185472.xyz;cryst;augccpvtz;CC(=O)OC1=CC=CC=C1C(=O)O;-1700226.415;2-acetoxybenzoic acid;CCDC Database
195802.xyz;cryst;augccpvtz;C1=CC=C2C(=C1)C(=CN2)CCN;-1304334.463;Tryptamine;"CCDC Database; GED OVERLAP 10.1016/j.molstruc.2017.07.016"
223259.xyz;cryst;augccpvtz;C1=C(C=C(C=C1Cl)Cl)Cl;-4224728.046;1,3,5-Trichlorobenzene;"CCDC Database; GED OVERLAP 10.1007/s11224-010-9614-x"
262857.xyz;cryst;augccpvtz;COC1=CC=CC=C1C(=O)N;-1350911.467;2-Methoxybenzamide;"CCDC Database; GED OVERLAP 10.1021/jp311003d"
751100.xyz;cryst;augccpvtz;C1=CC=C(C(=C1)C(=O)N)O;-1247996.771;2-Hydroxybenzamide;"CCDC Database; GED OVERLAP 10.1021/jp311003d"
1130688.xyz;cryst;augccpvtz;CN[S](=O)(=O)c1ccccc1c2sc(N)nn2;-3971242.377;2-(5-Amino-1,3,4-thiadiazol-2-yl)-N-methyl-benzenesulfonamide;CCDC Database
1135600.xyz;cryst;augccpvtz;CN1C(=O)CC(=O)N(c2ccccc2)c3cc(Cl)ccc13;-3506537.851;7-Chloro-1-methyl-5-phenyl-1H-1,5-benzodiazepine-2,4(3H,5H)-dione;CCDC Database
1136851.xyz;cryst;augccpvtz;Nc1ccc(cc1)[S](=O)(=O)NC(=O)c2ccccc2;-3239812.881;Sulfabenzamide;CCDC Database
1137474.xyz;cryst;augccpvtz;ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2;-6241499.566;1,1-Dichloro-2,2-bis(p-chlorophenyl)ethane;CCDC Database
